waste_description,industry_name,industry_description
"Plastic bottles and PET containers",Plastic Recycling Plant,"Processes post-consumer and industrial plastic waste into reusable pellets and raw materials for manufacturing"
"HDPE plastic drums and barrels",Plastic Recycling Plant,"Processes post-consumer and industrial plastic waste into reusable pellets and raw materials for manufacturing"
"PVC pipes and plastic sheets",Plastic Recycling Plant,"Processes post-consumer and industrial plastic waste into reusable pellets and raw materials for manufacturing"
"Polypropylene packaging material",Packaging Industry,"Uses recycled plastic for creating sustainable packaging solutions and containers"
"Plastic film and shrink wrap",Packaging Industry,"Uses recycled plastic for creating sustainable packaging solutions and containers"
"Plastic packaging waste",Packaging Industry,"Uses recycled plastic for creating sustainable packaging solutions and containers"
"PET bottle waste for fiber",Textile Manufacturing,"Converts PET plastic into polyester fibers for clothing and textile products"
"Synthetic plastic fiber waste",Textile Manufacturing,"Converts PET plastic into polyester fibers for clothing and textile products"
"Scrap steel and iron pieces",Steel Recycling Plant,"Melts and refines scrap metal into new steel products for construction and manufacturing"
"Stainless steel cutting waste",Steel Recycling Plant,"Melts and refines scrap metal into new steel products for construction and manufacturing"
"Old steel beams and structures",Steel Recycling Plant,"Melts and refines scrap metal into new steel products for construction and manufacturing"
"Iron filings and metal shavings",Steel Recycling Plant,"Melts and refines scrap metal into new steel products for construction and manufacturing"
"Aluminum cans and foil",Metal Foundry,"Casts recycled metals into industrial components and parts for various industries"
"Copper wire and cable scrap",Metal Foundry,"Casts recycled metals into industrial components and parts for various industries"
"Brass fittings and fixtures",Metal Foundry,"Casts recycled metals into industrial components and parts for various industries"
"Mixed metal scrap and alloys",Metal Foundry,"Casts recycled metals into industrial components and parts for various industries"
"Structural steel scrap",Construction Industry,"Uses recycled metal in structural reinforcement and building materials"
"Rebar and reinforcement steel",Construction Industry,"Uses recycled metal in structural reinforcement and building materials"
"Metal roofing and siding scrap",Construction Industry,"Uses recycled metal in structural reinforcement and building materials"
"Wood chips and sawdust",Biomass Power Plant,"Converts wood waste into renewable energy through controlled combustion and gasification"
"Timber offcuts and plywood scraps",Biomass Power Plant,"Converts wood waste into renewable energy through controlled combustion and gasification"
"Bark and forest residues",Biomass Power Plant,"Converts wood waste into renewable energy through controlled combustion and gasification"
"Reclaimed wood and pallets",Furniture Manufacturing,"Repurposes salvaged wood into new furniture and home goods with rustic appeal"
